Product Names,New to site?,Previous Prices,Previous Timestamp,Current Prices,Current Timestamp,Price Difference
Elastomer EL400 Gray,NO,£133.00,2024-10-27 10:44:34,£133.00,2024-10-27 11:56:13,0.0
Phrozen RPG 3D Printing Resin,NO,£46.00,2024-10-27 10:44:34,£46.00,2024-10-27 11:56:13,0.0
Aqua Hyperfine 3D Printing Resin,NO,£44.00,2024-10-27 10:44:34,£44.00,2024-10-27 11:56:13,0.0
Aqua 8K Resin,NO,From £41.00,2024-10-27 10:44:34,From £41.00,2024-10-27 11:56:13,0.0
Aqua 4K Resin,NO,From £37.00,2024-10-27 10:44:34,From £37.00,2024-10-27 11:56:13,0.0
ABS-Like Resin,NO,£38.00,2024-10-27 10:44:34,£38.00,2024-10-27 11:56:13,0.0
Aqua Clear Plus,NO,£41.00,2024-10-27 10:44:34,£41.00,2024-10-27 11:56:13,0.0
Phrozen Flame Retardant Resin FR940,NO,Out of stock,2024-10-27 10:44:34,Out of stock,2024-10-27 11:56:13,N/A
Phrozen Castable Resin,NO,From £108.00,2024-10-27 10:44:34,From £108.00,2024-10-27 11:56:13,0.0
Ceramic White,NO,£94.00,2024-10-27 10:44:34,£94.00,2024-10-27 11:56:13,0.0
Water-Washable Dental Model,NO,£67.00,2024-10-27 10:44:34,£67.00,2024-10-27 11:56:13,0.0
Gingiva Mask 500g,NO,£88.00,2024-10-27 10:44:34,£88.00,2024-10-27 11:56:13,0.0
Dental Study Model Resin,NO,£63.00,2024-10-27 10:44:34,£63.00,2024-10-27 11:56:13,0.0
Dental Ortho Model,NO,£108.00,2024-10-27 10:44:34,£108.00,2024-10-27 11:56:13,0.0
Onyx Impact Plus,NO,£104.00,2024-10-27 10:44:34,£104.00,2024-10-27 11:56:13,0.0
Onyx Rigid Pro410,NO,£83.00,2024-10-27 10:44:34,£83.00,2024-10-27 11:56:13,0.0
Speed resin,NO,£35.00,2024-10-27 10:44:34,£35.00,2024-10-27 11:56:13,0.0
TR300 Ultra High Temp,NO,£57.00,2024-10-27 10:44:34,£57.00,2024-10-27 11:56:13,0.0
Water-Washable Resin,NO,From £28.00,2024-10-27 10:44:34,From £28.00,2024-10-27 11:56:13,0.0
Phrozen Post-Processing Kit,NO,Out of stock,2024-10-27 10:44:34,Out of stock,2024-10-27 11:56:13,N/A
